Pf3D7_06_v3	479430	479430	NEG_FAR_Pf3D7_06_v3_479430	+
Pf3D7_03_v3	600148	600148	NEG_FAR_Pf3D7_03_v3_600148	+
Pf3D7_03_v3	479062	479062	NEG_NEAR_Pf3D7_03_v3_479407_479062	+
Pf3D7_12_v3	903077	903077	NEG_FAR_Pf3D7_12_v3_903077	+
Pf3D7_04_v3	825941	825941	NEG_FAR_Pf3D7_04_v3_825941	-
Pf3D7_11_v3	1609772	1609772	NEG_NEAR_Pf3D7_11_v3_1609315_1609772	+
Pf3D7_10_v3	514982	514982	NEG_NEAR_Pf3D7_10_v3_515449_514982	-
Pf3D7_08_v3	240955	240955	NEG_NEAR_Pf3D7_08_v3_241351_240955	-
Pf3D7_10_v3	872181	872181	NEG_NEAR_Pf3D7_10_v3_873468_872181	-
Pf3D7_10_v3	36274	36274	NEG_NEAR_Pf3D7_10_v3_36474_36274	-
Pf3D7_14_v3	1063584	1063584	NEG_NEAR_Pf3D7_14_v3_1063027_1063584	+
Pf3D7_14_v3	614243	614243	NEG_NEAR_Pf3D7_14_v3_613919_614243	+
Pf3D7_13_v3	2262129	2262129	NEG_NEAR_Pf3D7_13_v3_2261721_2262129	-
Pf3D7_07_v3	49084	49084	NEG_NEAR_Pf3D7_07_v3_49338_49084	-
Pf3D7_14_v3	1521633	1521633	NEG_NEAR_Pf3D7_14_v3_1522977_1521633	+
Pf3D7_05_v3	727752	727752	NEG_FAR_Pf3D7_05_v3_727752	+
Pf3D7_11_v3	946867	946867	NEG_NEAR_Pf3D7_11_v3_947224_946867	+
Pf3D7_08_v3	1045864	1045864	NEG_NEAR_Pf3D7_08_v3_1046351_1045864	+
Pf3D7_14_v3	2019744	2019744	NEG_NEAR_Pf3D7_14_v3_2020047_2019744	-
Pf3D7_12_v3	165123	165123	NEG_FAR_Pf3D7_12_v3_165123	+
Pf3D7_13_v3	449144	449144	NEG_NEAR_Pf3D7_13_v3_448806_449144	+
Pf3D7_02_v3	818255	818255	NEG_FAR_Pf3D7_02_v3_818255	+
Pf3D7_11_v3	665369	665369	NEG_NEAR_Pf3D7_11_v3_665705_665369	-
Pf3D7_10_v3	1239603	1239603	NEG_FAR_Pf3D7_10_v3_1239603	+
Pf3D7_14_v3	1230445	1230445	NEG_NEAR_Pf3D7_14_v3_1230852_1230445	+
Pf3D7_14_v3	2058694	2058694	NEG_NEAR_Pf3D7_14_v3_2059865_2058694	-
Pf3D7_14_v3	2797124	2797124	NEG_FAR_Pf3D7_14_v3_2797124	+
Pf3D7_08_v3	595083	595083	NEG_NEAR_Pf3D7_08_v3_593952_595083	+
Pf3D7_06_v3	934275	934275	NEG_FAR_Pf3D7_06_v3_934275	-
Pf3D7_03_v3	601948	601948	NEG_FAR_Pf3D7_03_v3_601948	+
Pf3D7_01_v3	186823	186823	NEG_FAR_Pf3D7_01_v3_186823	-
Pf3D7_11_v3	341002	341002	NEG_FAR_Pf3D7_11_v3_341002	+
Pf3D7_11_v3	338802	338802	NEG_FAR_Pf3D7_11_v3_338802	+
Pf3D7_14_v3	2518980	2518980	NEG_NEAR_Pf3D7_14_v3_2519194_2518980	+
Pf3D7_10_v3	1460207	1460207	NEG_FAR_Pf3D7_10_v3_1460207	-
Pf3D7_08_v3	1350088	1350088	NEG_FAR_Pf3D7_08_v3_1350088	+
Pf3D7_14_v3	1003507	1003507	NEG_FAR_Pf3D7_14_v3_1003507	+
Pf3D7_14_v3	269749	269749	NEG_NEAR_Pf3D7_14_v3_269263_269749	-
Pf3D7_05_v3	170229	170229	NEG_NEAR_Pf3D7_05_v3_169835_170229	-
Pf3D7_14_v3	1075150	1075150	NEG_FAR_Pf3D7_14_v3_1075150	+
Pf3D7_03_v3	602548	602548	NEG_FAR_Pf3D7_03_v3_602548	-
Pf3D7_14_v3	2047196	2047196	NEG_NEAR_Pf3D7_14_v3_2047769_2047196	-
Pf3D7_10_v3	524453	524453	NEG_FAR_Pf3D7_10_v3_524453	+
Pf3D7_13_v3	717258	717258	NEG_FAR_Pf3D7_13_v3_717258	-
Pf3D7_14_v3	2220783	2220783	NEG_NEAR_Pf3D7_14_v3_2221013_2220783	-
Pf3D7_07_v3	992989	992989	NEG_NEAR_Pf3D7_07_v3_993231_992989	+
Pf3D7_10_v3	1516417	1516417	NEG_FAR_Pf3D7_10_v3_1516417	+
Pf3D7_02_v3	771072	771072	NEG_NEAR_Pf3D7_02_v3_769760_771072	-
Pf3D7_03_v3	376442	376442	NEG_NEAR_Pf3D7_03_v3_377748_376442	-
Pf3D7_08_v3	1350288	1350288	NEG_FAR_Pf3D7_08_v3_1350288	-
Pf3D7_11_v3	1812526	1812526	NEG_NEAR_Pf3D7_11_v3_1812991_1812526	+
Pf3D7_14_v3	1941285	1941285	NEG_NEAR_Pf3D7_14_v3_1941990_1941285	+
Pf3D7_03_v3	100108	100108	NEG_FAR_Pf3D7_03_v3_100108	+
Pf3D7_12_v3	997954	997954	NEG_NEAR_Pf3D7_12_v3_997544_997954	+
Pf3D7_08_v3	1369507	1369507	NEG_FAR_Pf3D7_08_v3_1369507	+
Pf3D7_14_v3	2218592	2218592	NEG_NEAR_Pf3D7_14_v3_2218295_2218592	-
Pf3D7_10_v3	745705	745705	NEG_NEAR_Pf3D7_10_v3_745193_745705	-
Pf3D7_14_v3	2327827	2327827	NEG_FAR_Pf3D7_14_v3_2327827	-
Pf3D7_03_v3	996026	996026	NEG_FAR_Pf3D7_03_v3_996026	-
Pf3D7_01_v3	458821	458821	NEG_FAR_Pf3D7_01_v3_458821	-
Pf3D7_14_v3	1069932	1069932	NEG_NEAR_Pf3D7_14_v3_1069549_1069932	-
Pf3D7_11_v3	514562	514562	NEG_FAR_Pf3D7_11_v3_514562	+
Pf3D7_11_v3	1152314	1152314	NEG_NEAR_Pf3D7_11_v3_1151893_1152314	+
Pf3D7_07_v3	1248174	1248174	NEG_NEAR_Pf3D7_07_v3_1248514_1248174	-
Pf3D7_13_v3	2821391	2821391	NEG_NEAR_Pf3D7_13_v3_2820803_2821391	-
Pf3D7_11_v3	1214457	1214457	NEG_FAR_Pf3D7_11_v3_1214457	-
Pf3D7_07_v3	741125	741125	NEG_NEAR_Pf3D7_07_v3_741637_741125	+
Pf3D7_11_v3	339602	339602	NEG_FAR_Pf3D7_11_v3_339602	+
Pf3D7_12_v3	165323	165323	NEG_FAR_Pf3D7_12_v3_165323	-
Pf3D7_03_v3	597148	597148	NEG_FAR_Pf3D7_03_v3_597148	-
Pf3D7_14_v3	665802	665802	NEG_NEAR_Pf3D7_14_v3_666904_665802	+
Pf3D7_04_v3	915772	915772	NEG_FAR_Pf3D7_04_v3_915772	-
Pf3D7_14_v3	1797679	1797679	NEG_NEAR_Pf3D7_14_v3_1797152_1797679	+
Pf3D7_13_v3	1702827	1702827	NEG_NEAR_Pf3D7_13_v3_1703878_1702827	+
Pf3D7_05_v3	231094	231094	NEG_NEAR_Pf3D7_05_v3_230561_231094	-
Pf3D7_10_v3	459353	459353	NEG_NEAR_Pf3D7_10_v3_459792_459353	-
Pf3D7_06_v3	973556	973556	NEG_FAR_Pf3D7_06_v3_973556	+
Pf3D7_10_v3	679018	679018	NEG_FAR_Pf3D7_10_v3_679018	-
Pf3D7_10_v3	616892	616892	NEG_NEAR_Pf3D7_10_v3_617453_616892	-
Pf3D7_06_v3	56299	56299	NEG_FAR_Pf3D7_06_v3_56299	-
Pf3D7_14_v3	2332327	2332327	NEG_NEAR_Pf3D7_14_v3_2332920_2332327	+
Pf3D7_12_v3	1773229	1773229	NEG_NEAR_Pf3D7_12_v3_1774135_1773229	+
Pf3D7_13_v3	1289718	1289718	NEG_NEAR_Pf3D7_13_v3_1289933_1289718	-
Pf3D7_03_v3	602348	602348	NEG_FAR_Pf3D7_03_v3_602348	+
Pf3D7_13_v3	718458	718458	NEG_FAR_Pf3D7_13_v3_718458	-
Pf3D7_08_v3	73786	73786	NEG_FAR_Pf3D7_08_v3_73786	-
Pf3D7_06_v3	546242	546242	NEG_NEAR_Pf3D7_06_v3_546842_546242	+
Pf3D7_07_v3	924870	924870	NEG_NEAR_Pf3D7_07_v3_926263_924870	+
Pf3D7_13_v3	1767751	1767751	NEG_NEAR_Pf3D7_13_v3_1768299_1767751	-
Pf3D7_14_v3	132616	132616	NEG_NEAR_Pf3D7_14_v3_132125_132616	-
Pf3D7_05_v3	969633	969633	NEG_NEAR_Pf3D7_05_v3_970171_969633	-
Pf3D7_13_v3	1607132	1607132	NEG_NEAR_Pf3D7_13_v3_1606874_1607132	-
Pf3D7_06_v3	55699	55699	NEG_FAR_Pf3D7_06_v3_55699	-
Pf3D7_11_v3	1567046	1567046	NEG_FAR_Pf3D7_11_v3_1567046	-
Pf3D7_12_v3	86652	86652	NEG_FAR_Pf3D7_12_v3_86652	-
Pf3D7_14_v3	1922394	1922394	NEG_NEAR_Pf3D7_14_v3_1922027_1922394	-
Pf3D7_13_v3	2870816	2870816	NEG_NEAR_Pf3D7_13_v3_2870338_2870816	-
Pf3D7_11_v3	101675	101675	NEG_FAR_Pf3D7_11_v3_101675	-
Pf3D7_13_v3	1456781	1456781	NEG_NEAR_Pf3D7_13_v3_1456225_1456781	+
Pf3D7_06_v3	1303993	1303993	NEG_FAR_Pf3D7_06_v3_1303993	-
Pf3D7_01_v3	311858	311858	NEG_FAR_Pf3D7_01_v3_311858	-
Pf3D7_13_v3	2057070	2057070	NEG_NEAR_Pf3D7_13_v3_2056756_2057070	+
Pf3D7_10_v3	936658	936658	NEG_FAR_Pf3D7_10_v3_936658	+
Pf3D7_14_v3	3250305	3250305	NEG_NEAR_Pf3D7_14_v3_3251194_3250305	-
Pf3D7_14_v3	153599	153599	NEG_NEAR_Pf3D7_14_v3_154794_153599	-
Pf3D7_07_v3	1293800	1293800	NEG_FAR_Pf3D7_07_v3_1293800	-
Pf3D7_06_v3	108220	108220	NEG_NEAR_Pf3D7_06_v3_107612_108220	+
Pf3D7_02_v3	817855	817855	NEG_FAR_Pf3D7_02_v3_817855	+
Pf3D7_14_v3	310034	310034	NEG_FAR_Pf3D7_14_v3_310034	+
Pf3D7_12_v3	1654992	1654992	NEG_NEAR_Pf3D7_12_v3_1654785_1654992	-
Pf3D7_10_v3	1415359	1415359	NEG_NEAR_Pf3D7_10_v3_1416223_1415359	+
Pf3D7_14_v3	1080496	1080496	NEG_NEAR_Pf3D7_14_v3_1081017_1080496	-
Pf3D7_11_v3	1272217	1272217	NEG_NEAR_Pf3D7_11_v3_1272617_1272217	-
Pf3D7_05_v3	728752	728752	NEG_FAR_Pf3D7_05_v3_728752	+
